match_id,unix_epoc_secs,team_a_id,team_a_name,team_a_score,team_b_id,team_b_name,team_b_score,location,competition
8397,106099200000,44,Portugal,13,753,Poland,3,,Federation Internationale de Rugby Amateur Championship 1973
4749,107956800000,43,Spain,23,42,France,30,Spain,
3973,108432000000,50,Canada,20,33,Wales,58,Canada,Tour 1973
6417,108604800000,377,Sydney,14,47,Tonga,19,,Tour 1973
5137,109641600000,1211,Czechoslovakia,44,1165,East Germany,6,,
1537,109695600000,38,Australia,30,47,Tonga,12,Australia,Tour 1973
1538,110246400000,38,Australia,11,47,Tonga,16,Australia,Tour 1973
8805,110332800000,703,Brazil,22,751,Paraguay,3,,
3495,111196800000,46,Fiji,24,47,Tonga,12,Fiji,
3494,115344000000,46,Fiji,12,34,England,13,Fiji,Tour 1973
2744,116294400000,40,Argentina,15,52,Romania,9,Argentina,Tour 1973
2743,116899200000,40,Argentina,24,52,Romania,3,Argentina,Tour 1973
998,116951400000,37,New Zealand,10,34,England,16,New Zealand,Tour 1973
8806,117158400000,1211,Czechoslovakia,36,704,Bulgaria,7,,
4490,118767600000,33,Wales,62,49,Japan,14,Wales,Tour 1973
3287,119404800000,40,Argentina,98,751,Paraguay,3,Brazil,South American Championship A 1973
4406,119404800000,708,Chile,10,68,Uruguay,13,Brazil,South American Championship A 1973
3286,119577600000,40,Argentina,55,68,Uruguay,0,Brazil,South American Championship A 1973
4405,119750400000,703,Brazil,6,68,Uruguay,16,Brazil,South American Championship A 1973
8809,119750400000,708,Chile,27,751,Paraguay,3,Brazil,
28626,119923200000,699,Belgium,9,721,Germany,20,,
3285,119923200000,40,Argentina,96,703,Brazil,0,Brazil,South American Championship A 1973
4407,119923200000,751,Paraguay,9,68,Uruguay,31,Brazil,South American Championship A 1973
8807,119923200000,64,Netherlands,21,769,Sweden,0,,
3284,120009600000,40,Argentina,60,708,Chile,3,Brazil,South American Championship A 1973
5139,120009600000,1211,Czechoslovakia,32,783,Yugoslavia,32,,Federation Internationale de Rugby Amateur Championship 1973
8808,120096000000,703,Brazil,3,708,Chile,22,Brazil,
8810,120268800000,699,Belgium,18,769,Sweden,6,,
2742,120528000000,721,Germany,9,52,Romania,33,,Federation Internationale de Rugby Amateur Championship 1973
4046,120528000000,42,France,30,49,Japan,18,,Tour 1973
8811,120528000000,715,Denmark,12,769,Sweden,7,,
3823,121219200000,41,Italy,3,1211,Czechoslovakia,3,,Federation Internationale de Rugby Amateur Championship 1973
5262,121737600000,36,Ireland,21,40,Argentina,8,Ireland,Tour 1973
553,121789800000,33,Wales,24,38,Australia,0,Wales,Tour 1973
